title,description
Concluir relatório para reunião trimestral,Complete o relatório para apresentação na reunião trimestral com o time executivo.
Enviar e-mails de acompanhamento aos clientes,Entrar em contato com os clientes para acompanhamento após a última reunião.
Preparar slides de apresentação para atualização do projeto,Criar slides para a próxima reunião de atualização do projeto.
Revisar orçamento para o próximo ano fiscal,Analisar e revisar o orçamento para o próximo ano financeiro.
Organizar reunião de equipe para sessão de brainstorm,Agendar e organizar uma reunião de equipe para gerar novas ideias.
Ligar para o fornecedor para perguntar sobre novos produtos,Entrar em contato com o fornecedor para obter informações sobre os novos produtos disponíveis.
Atualizar o site da empresa com as últimas notícias,Atualizar o conteúdo do site com as últimas informações e notícias da empresa.
Pesquisar tendências da indústria para a próxima conferência,Realizar pesquisa sobre as tendências atuais da indústria para preparação da próxima conferência.
Agendar entrevistas para novas contratações,Marcar entrevistas com os candidatos selecionados para as vagas abertas.
Criar postagens para redes sociais para o lançamento do produto,Desenvolver conteúdo e gráficos para as postagens de mídia social anunciando o lançamento do novo produto.
Participar de workshop de gestão do tempo,Frequentar o workshop sobre técnicas de gerenciamento de tempo.
Reunir-se com a equipe de marketing para discutir estratégia da campanha,Agendar e conduzir uma reunião com a equipe de marketing para planejar a próxima campanha.
Fazer follow-up com o fornecedor sobre o cronograma de entrega,Entrar em contato com o fornecedor para confirmar e acompanhar o cronograma de entrega dos produtos encomendados.
Compilar dados para relatório de vendas mensal,Coletar e organizar dados para preparar o relatório mensal de vendas.
Organizar acomodações de viagem para próxima viagem de negócios,Fazer reservas de hotel e passagens para a próxima viagem de negócios da empresa.
Escrever postagem de blog sobre os últimos desenvolvimentos da indústria,Redigir uma postagem para o blog da empresa abordando as últimas notícias e tendências do setor.
Coordenar com o departamento de TI para atualizações de software,Trabalhar em conjunto com a equipe de TI para planejar e implementar atualizações de software.
Planejar atividade de integração de equipe para o próximo mês,Organizar e coordenar uma atividade de integração para fortalecer o trabalho em equipe.
Revisar e aprovar relatórios de despesas,Analisar e aprovar os relatórios de despesas submetidos pelos funcionários.
Conduzir avaliações de desempenho para a equipe,Avaliar o desempenho dos funcionários e fornecer feedback construtivo.
Atualizar manual do funcionário com novas políticas,Revisar e atualizar o manual do funcionário com as políticas mais recentes da empresa.
Pesquisar oportunidades de parceria potenciais,Investigar e avaliar possíveis parcerias estratégicas para a empresa.
Participar de evento de networking para promover a empresa,Representar a empresa em eventos de networking para expandir contatos e promover a marca.
Criar agenda para reunião do conselho,Elaborar uma agenda abrangente para a próxima reunião do conselho.
Organizar serviço de catering para evento da empresa,Contratar serviço de catering para o próximo evento da empresa.
Responder a consultas de clientes por e-mail,Atender e responder às perguntas dos clientes por e-mail de maneira oportuna.
Revisar e atualizar cronogramas do projeto,Analisar e ajustar os cronogramas do projeto conforme necessário para garantir o cumprimento dos prazos.
Encomendar suprimentos de escritório para o departamento,Realizar pedidos de suprimentos de escritório para garantir que o departamento tenha os recursos necessários.
Finalizar apresentação para pitch ao cliente,Rever e finalizar os detalhes da apresentação para a reunião de pitch com o cliente.
Brainstorm de ideias para melhoria do produto,Realizar uma sessão de brainstorming para gerar ideias de melhorias para o produto atual.
